TWA;0;2;4;5;8;10;12;14;16;18;20;22;24;25;26;28;30;32;35;40;50;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0
30;0;0;0.01;0.01;0.01;0.02;0.02;0.02;0.03;0.03;0.04;0.04;0.04;0.04;0.05;0.05;0.03;0.03;0.01;0.01;0;0;0
35;0;0.01;0.02;0.02;0.03;0.04;0.05;0.06;0.07;0.07;0.08;0.09;0.1;0.1;0.11;0.11;0.06;0.06;0.03;0.02;0;0;0
40;0;0.02;0.03;0.04;0.07;0.09;0.1;0.12;0.14;0.16;0.17;0.19;0.21;0.22;0.23;0.24;0.14;0.14;0.08;0.04;0.01;0;0
45;0;0.03;0.07;0.08;0.14;0.17;0.2;0.24;0.27;0.31;0.34;0.37;0.41;0.42;0.44;0.49;0.29;0.3;0.17;0.1;0.02;0.01;0
50;0;0.06;0.12;0.15;0.25;0.31;0.37;0.43;0.5;0.57;0.63;0.69;0.75;0.78;0.82;0.88;0.56;0.58;0.35;0.2;0.05;0.02;0
55;0;0.11;0.21;0.26;0.42;0.54;0.65;0.75;0.86;0.96;1.07;1.18;1.28;1.33;1.39;1.5;0.99;1.02;0.67;0.4;0.11;0.05;0
60;0;0.16;0.33;0.41;0.66;0.83;0.99;1.15;1.32;1.48;1.65;1.81;1.98;2.06;2.14;2.3;1.64;1.68;1.16;0.74;0.23;0.12;0
65;0;0.24;0.48;0.61;0.97;1.21;1.45;1.7;1.94;2.18;2.42;2.67;2.91;3.03;3.15;3.39;2.5;2.57;1.85;1.25;0.44;0.23;0
70;0;0.34;0.69;0.86;1.37;1.72;2.06;2.4;2.75;3.09;3.43;3.78;4.11;4.28;4.45;4.8;3.66;3.76;2.81;1.99;0.79;0.44;0
75;0;0.46;0.93;1.16;1.86;2.33;2.8;3.26;3.73;4.19;4.65;5.12;5.58;5.82;6.05;6.52;5.14;5.28;4.09;3;1.28;0.76;0
80;0;0.61;1.22;1.52;2.43;3.04;3.66;4.26;4.87;5.48;6.09;6.7;7.3;7.61;7.92;8.52;6.95;7.14;5.73;4.35;2.01;1.23;0
85;0;0.77;1.54;1.92;3.07;3.84;4.6;5.37;6.14;6.91;7.67;8.44;9.21;9.59;9.98;10.74;9.05;9.3;7.7;6.07;3.01;1.92;0
