  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
-----------------------------------------------------------------
   128.396 |    126.608 |  1,527,195,152 |          4 |  32.098965 | VIRTUALHELM::GET-VALUES-FROM-INDEX
    10.532 |      2.908 |  7,199,141,904 |        406 |   0.025940 | VIRTUALHELM::INTERPOLATE-FORECAST
     2.550 |      0.028 |    447,683,824 |  1,927,356 |   0.000001 | VIRTUALHELM::GET-INTERPOLATED-WIND
     1.502 |      0.000 |        524,288 |     36,309 |   0.000041 | VIRTUALHELM::OGR-L-GET-NEXT-FEATURE
     1.253 |      0.012 |    301,143,280 |  1,915,626 |   0.000001 | VIRTUALHELM::GET-MAX-SPEED
     1.170 |      0.000 |     64,007,488 |        164 |   0.007132 | VIRTUALHELM::FILTER-ISOCHRONE
     0.980 |      0.000 |        700,592 |         38 |   0.025789 | VIRTUALHELM::DOWNLOAD-NOAA-FILE%
     0.733 |      0.064 |    762,893,792 |  7,709,424 |   0.000000 | VIRTUALHELM::GET-WIND
     0.485 |      0.000 |              0 | 10,075,208 |   0.000000 | VIRTUALHELM::LATLNG-LNGR
     0.477 |      0.020 |    356,232,544 |  1,656,611 |   0.000000 | VIRTUALHELM::ADD-DISTANCE-EXACT
     0.312 |      0.000 |     34,045,504 |  1,915,342 |   0.000000 | VIRTUALHELM::HEADING-TWA
     0.310 |      0.004 |     82,109,584 |  5,782,068 |   0.000000 | VIRTUALHELM::BILINEAR
     0.304 |      0.000 |              0 |      1,131 |   0.000268 | VIRTUALHELM::OGR-G-INTERSECTS
     0.296 |      0.000 |      2,022,960 |          3 |   0.098632 | VIRTUALHELM::READ-NOAA-WIND-DATA
     0.235 |      0.000 |     10,985,952 |  1,949,770 |   0.000000 | VIRTUALHELM::NORMALIZE-ANGLE
     0.228 |      0.000 |        938,320 |          1 |   0.228000 | VIRTUALHELM::DOWNLOAD-DWD-FILE
     0.217 |      0.024 |    106,696,048 |  7,709,424 |   0.000000 | VIRTUALHELM::ENORM
     0.216 |      0.000 |            464 |          1 |   0.215959 | VIRTUALHELM::READ-DWD-WIND-DATA
     0.213 |      0.008 |    216,281,264 |  1,656,325 |   0.000000 | VIRTUALHELM::MAKE-ROUTEPOINT
     0.202 |      0.000 |             96 |  1,927,380 |   0.000000 | VIRTUALHELM::FCB-TIME
     0.197 |      0.000 |              0 | 10,075,208 |   0.000000 | VIRTUALHELM::LATLNG-LATR
     0.191 |      0.000 |     31,784,736 |  1,927,356 |   0.000000 | VIRTUALHELM::ANGLE
     0.138 |      0.004 |    193,433,136 |    165,893 |   0.000001 | VIRTUALHELM::JSON%
     0.122 |      0.000 |              0 |     36,309 |   0.000003 | VIRTUALHELM::OGR-L-SET-SPATIAL-FILTER
     0.115 |      0.000 |     15,301,008 |     23,452 |   0.000005 | VIRTUALHELM::ROUND-TO-DIGITS
     0.112 |      0.000 |            528 |  1,915,626 |   0.000000 | VIRTUALHELM::GET-COMBINED-POLARS
     0.100 |      0.048 |      2,928,752 |        209 |   0.000478 | VIRTUALHELM::DOWNLOAD-NOAA-FILE
     0.091 |      0.000 |              0 |  3,854,747 |   0.000000 | VIRTUALHELM::NOAA-DATA
     0.088 |      0.000 |     54,558,880 |  1,690,522 |   0.000000 | VIRTUALHELM::DEG
     0.082 |      0.000 |          1,360 |  1,984,486 |   0.000000 | VIRTUALHELM::NORMALIZE-HEADING
     0.079 |      0.000 |              0 |  1,927,356 |   0.000000 | VIRTUALHELM::FCB-STEPWIDTH
     0.074 |      0.000 |     46,956,544 |  3,312,662 |   0.000000 | VIRTUALHELM::RAD
     0.072 |      0.000 |     39,518,304 |  1,915,626 |   0.000000 | VIRTUALHELM::POLARS-ANGLE
     0.016 |      0.000 |      2,326,528 |     42,846 |   0.000000 | VIRTUALHELM::FILTERED-SLOTS
     0.012 |      0.000 |      1,039,888 |        164 |   0.000073 | VIRTUALHELM::CLIP-ISOCHRONE
     0.009 |      0.000 |              0 |     72,618 |   0.000000 | VIRTUALHELM::OGR-G-SET-POINT-2D
     0.006 |      0.000 |              0 |     36,309 |   0.000000 | VIRTUALHELM::INTERSECTS-LAND-P
     0.004 |      0.000 |         32,768 |          7 |   0.000571 | VIRTUALHELM::SET-ROUTING-PARAMETER
     0.004 |      0.000 |        145,408 |         24 |   0.000166 | VIRTUALHELM::FIND-OR-CREATE-SESSION
     0.004 |      0.000 |              0 |        296 |   0.000013 | VIRTUALHELM::COPY-LATLNG
     0.004 |      0.000 |              0 |        469 |   0.000008 | VIRTUALHELM::GET-FORECAST
     0.004 |      0.000 |              0 |          3 |   0.001260 | VIRTUALHELM::DOWNLOAD-NOAA-BUNDLE
     0.004 |      0.000 |              0 |        288 |   0.000013 | VIRTUALHELM::TWA-HEADING
     0.004 |      0.000 |         32,768 |        691 |   0.000005 | VIRTUALHELM::MAKE-GRIB-VALUES
     0.004 |      0.000 |              0 |          3 |   0.001203 | VIRTUALHELM::INSERT-INTERPOLATED-FORECASTS
     0.004 |      0.000 |        458,464 |     11,734 |   0.000000 | VIRTUALHELM::MAKE-LATLNG
     0.002 |      0.000 |              0 |     36,309 |   0.000000 | VIRTUALHELM::OGR-L-RESET-READING
     0.000 |      0.024 |     76,940,752 |          2 |   0.000000 | VIRTUALHELM::GET-ROUTE
     0.000 |      0.000 |        622,592 |          2 |   0.000000 | VIRTUALHELM::EXTRACT-TRACKS
     0.000 |      0.000 |         97,840 |          4 |   0.000000 | VIRTUALHELM::GET-GRID-INFO
